Europe,United Kingdom,2020-01-05,0,0,0
Europe,United Kingdom,2020-01-06,0,0,0
Europe,United Kingdom,2020-01-07,0,0,0
Europe,United Kingdom,2020-01-08,0,0,0
Europe,United Kingdom,2020-01-09,0,0,0
Europe,United Kingdom,2020-01-10,0,0,0
Europe,United Kingdom,2020-01-11,0,0,0
Europe,United Kingdom,2020-01-12,0,0,0
Europe,United Kingdom,2020-01-13,0,0,0
Europe,United Kingdom,2020-01-14,0,0,0
Europe,United Kingdom,2020-01-15,0,0,0
Europe,United Kingdom,2020-01-16,0,0,0
Europe,United Kingdom,2020-01-17,0,0,0
Europe,United Kingdom,2020-01-18,0,0,0
Europe,United Kingdom,2020-01-19,0,0,0
Europe,United Kingdom,2020-01-20,0,0,0
Europe,United Kingdom,2020-01-21,0,0,0
Europe,United Kingdom,2020-01-22,0,0,0
Europe,United Kingdom,2020-01-23,0,0,0
Europe,United Kingdom,2020-01-24,0,0,0
Europe,United Kingdom,2020-01-25,0,0,0
Europe,United Kingdom,2020-01-26,0,0,0
Europe,United Kingdom,2020-01-27,0,0,0
Europe,United Kingdom,2020-01-28,0,0,0
Europe,United Kingdom,2020-01-29,0,0,0
Europe,United Kingdom,2020-01-30,0,0,0
Europe,United Kingdom,2020-01-31,0,0,0
Europe,United Kingdom,2020-02-01,0,0,0
Europe,United Kingdom,2020-02-02,1,1,100
Europe,United Kingdom,2020-02-03,1,1,100
Europe,United Kingdom,2020-02-04,1,1,100
Europe,United Kingdom,2020-02-05,1,1,100
Europe,United Kingdom,2020-02-06,1,1,100
Europe,United Kingdom,2020-02-07,1,1,100
Europe,United Kingdom,2020-02-08,1,1,100
Europe,United Kingdom,2020-02-09,21,2,9.52380952380952
Europe,United Kingdom,2020-02-10,21,2,9.52380952380952
Europe,United Kingdom,2020-02-11,21,2,9.52380952380952
Europe,United Kingdom,2020-02-12,21,2,9.52380952380952
Europe,United Kingdom,2020-02-13,21,2,9.52380952380952
Europe,United Kingdom,2020-02-14,21,2,9.52380952380952
Europe,United Kingdom,2020-02-15,21,2,9.52380952380952
Europe,United Kingdom,2020-02-16,32,2,6.25
Europe,United Kingdom,2020-02-17,32,2,6.25
Europe,United Kingdom,2020-02-18,32,2,6.25
Europe,United Kingdom,2020-02-19,32,2,6.25
Europe,United Kingdom,2020-02-20,32,2,6.25
Europe,United Kingdom,2020-02-21,32,2,6.25
Europe,United Kingdom,2020-02-22,32,2,6.25
Europe,United Kingdom,2020-02-23,35,2,5.71428571428571
Europe,United Kingdom,2020-02-24,35,2,5.71428571428571
Europe,United Kingdom,2020-02-25,35,2,5.71428571428571
Europe,United Kingdom,2020-02-26,35,2,5.71428571428571
Europe,United Kingdom,2020-02-27,35,2,5.71428571428571
Europe,United Kingdom,2020-02-28,35,2,5.71428571428571
Europe,United Kingdom,2020-02-29,35,2,5.71428571428571
Europe,United Kingdom,2020-03-01,68,3,4.41176470588235
Europe,United Kingdom,2020-03-02,68,3,4.41176470588235
Europe,United Kingdom,2020-03-03,68,3,4.41176470588235
