North America,United States,338289856,103436829,30.5763909751997
Asia,China,1425887360,99367041,6.96878615993903
Asia,India,1417173120,45040752,3.17821100078443
Europe,France,67813000,38997490,57.5073953371772
Europe,Germany,83369840,38437756,46.1051094736418
South America,Brazil,215313504,37511921,17.422001083592
Asia,South Korea,51815808,34571873,66.7207061597882
Asia,Japan,123951696,33803572,27.2715687569132
Europe,Italy,59037472,26727644,45.2723382193601
Europe,United Kingdom,67508936,24959553,36.9722209812343
Europe,Russia,144713312,24249372,16.7568357498445
Asia,Turkey,85341248,17004718,19.9255558109485
Europe,Spain,47558632,13980340,29.3960095403922
Oceania,Australia,26177410,11861161,45.3106743562484
Asia,Vietnam,98186856,11624000,11.8386518048811
South America,Argentina,45510324,10113517,22.2224675877939
Europe,Netherlands,17564020,8638366,49.1821690023127
Asia,Iran,88550568,7627863,8.61413220974483
North America,Mexico,127504120,7617260,5.97412852227834
Asia,Indonesia,275501344,6829305,2.47886449512203
Europe,Poland,39857144,6665723,16.7240357211746
South America,Colombia,51874028,6388878,12.3161401694119
Europe,Austria,8939617,6082402,68.0387314132138
Europe,Portugal,10270857,5659873,55.1061415809801
Europe,Greece,10384972,5656316,54.4663577330781
Europe,Ukraine,39701744,5532447,13.9350226025335
South America,Chile,19603736,5400866,27.5501873724478
Asia,Malaysia,33938216,5302017,15.6225565893033
Europe,Belgium,11655923,4868466,41.7681722845973
Asia,Israel,9449000,4841558,51.2388400888983
North America,Canada,38454328,4816815,12.5260672868864
Asia,Thailand,71697024,4796625,6.69013123892004
Europe,Czechia,10493990,4760581,45.3648326327736
South America,Peru,34049588,4526977,13.2952475078406
Europe,Switzerland,8740471,4456344,50.9851700211579
Asia,Philippines,115559008,4173631,3.61168815156323
Africa,South Africa,59893884,4072751,6.79994471555727
Europe,Romania,19659270,3532143,17.9668064989188
Europe,Denmark,5882259,3435679,58.407475767388
Asia,Singapore,5637022,3006155,53.3287789190817
Europe,Sweden,10549349,2753569,26.1017907360919
Oceania,New Zealand,5185289,2632986,50.7779990662044
Europe,Serbia,6871547,2583470,37.5966285321195
Asia,Iraq,44496124,2465545,5.54103319201466
Europe,Hungary,9967304,2230506,22.3782278537908
Asia,Bangladesh,171186368,2051232,1.19824494436379
Europe,Slovakia,5643455,1877866,33.2751124975746
Asia,Georgia,3744385,1863101,49.7571964421394
Asia,Jordan,11285875,1746997,15.4794998172494
Europe,Ireland,5023108,1742441,34.6885036117081
Asia,Pakistan,235824864,1580631,0.670256296638848
Europe,Norway,5434324,1510561,27.796667994032
Asia,Kazakhstan,19397998,1504370,7.75528484949839
Europe,Finland,5540745,1499712,27.0669738455749
Europe,Lithuania,2750058,1367553,49.728151188084
Europe,Slovenia,2119843,1356217,63.9772379369604
Europe,Bulgaria,6781955,1329519,19.6037720686734
Europe,Croatia,4030361,1317144,32.6805464820645
Africa,Morocco,37457976,1279115,3.4148000949117
North America,Puerto Rico,3252412,1252713,38.5164302677521
North America,Guatemala,17843914,1250367,7.00724628016028
Asia,Lebanon,5489744,1239904,22.585825495688
North America,Costa Rica,5180836,1230653,23.7539462743079
South America,Bolivia,12224114,1212145,9.91601518114114
Africa,Tunisia,12356116,1153361,9.33433289231017
North America,Cuba,11212198,1113662,9.93259305624107
South America,Ecuador,18001002,1076965,5.98280584603013
Asia,United Arab Emirates,9441138,1067030,11.3019214420973
North America,Panama,4408582,1044731,23.6976651449378
South America,Uruguay,3422796,1041307,30.4227012068496
Asia,Mongolia,3398373,1011489,29.7639193814216
Asia,Nepal,30547586,1003450,3.28487494887485
